GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyJobsInfra,com.wilzwert.myjobs.infrastructure.mapper,EntityMapper,0,32,0,0,0,11,0,2,0,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.mail,CustomMailMessage,0,30,0,0,0,10,0,2,0,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.mail,MailProvider,6,127,0,0,2,29,1,4,1,4
MyJobsInfra,com.wilzwert.myjobs.infrastructure.persistence.mongo.entity,JobRatingReadConverter,0,7,0,0,0,2,0,2,0,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.persistence.mongo.entity,MongoRefreshToken,0,7,0,0,0,3,0,2,0,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.persistence.mongo.entity,JobRatingWriteConverter,0,7,0,0,0,2,0,2,0,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.security.jwt,JwtAuthenticationFilter,0,120,0,12,0,31,0,10,0,4
MyJobsInfra,com.wilzwert.myjobs.infrastructure.security.jwt,JwtAuthenticator,0,35,0,0,0,7,0,2,0,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.api.rest.dto,ErrorResponse,0,116,0,2,0,21,0,16,0,15
MyJobsInfra,com.wilzwert.myjobs.infrastructure.api.rest.dto,JobRatingConverter,0,7,0,0,0,2,0,2,0,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.security.service,CustomUserDetailsService,42,10,0,0,2,4,2,2,2,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.security.service,UserDetailsImpl,31,0,6,0,10,0,8,0,5,0
MyJobsInfra,com.wilzwert.myjobs.infrastructure.security.service,JwtService,0,179,0,16,0,50,0,16,0,8
MyJobsInfra,com.wilzwert.myjobs.infrastructure.security.service,CookieService,53,9,0,0,12,4,5,1,5,1
MyJobsInfra,com.wilzwert.myjobs.infrastructure.api.rest.controller,AuthController,4,271,1,11,0,46,1,13,0,8
MyJobsInfra,com.wilzwert.myjobs.infrastructure.api.rest.controller,UserController,84,28,0,0,16,10,6,2,6,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.api.rest.controller,PasswordController,21,13,0,0,4,5,2,2,2,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.api.rest.controller,JobController,176,34,6,0,28,12,11,2,8,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.api.rest.controller,ActivityController,25,13,0,0,3,5,1,2,1,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.api.rest.controller,AttachmentController,130,19,2,0,23,7,4,2,3,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.storage,S3StorageConfiguration,0,40,0,0,0,11,0,5,0,5
MyJobsInfra,com.wilzwert.myjobs.infrastructure.storage,MockFileStorage,49,56,6,2,11,13,5,5,1,5
MyJobsInfra,com.wilzwert.myjobs.infrastructure.storage,S3FileStorage,31,75,0,4,11,25,2,7,2,5
MyJobsInfra,com.wilzwert.myjobs.infrastructure.storage,LocalFileStorage,155,0,14,0,37,0,13,0,6,0
MyJobsInfra,com.wilzwert.myjobs.infrastructure.security.captcha,CaptchaAspect,0,29,0,2,0,9,0,3,0,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.security.captcha,CaptchaValidator,0,60,0,4,0,17,0,5,0,3
MyJobsInfra,com.wilzwert.myjobs.infrastructure.persistence.mongo.mapper,IdMapper,0,24,0,0,0,5,0,5,0,5
MyJobsInfra,com.wilzwert.myjobs.infrastructure.persistence.mongo.service,JobServiceAdapter,0,185,1,7,0,23,1,13,0,10
MyJobsInfra,com.wilzwert.myjobs.infrastructure.persistence.mongo.service,UserServiceAdapter,201,18,0,0,21,7,15,1,15,1
MyJobsInfra,com.wilzwert.myjobs.infrastructure.persistence.mongo.service,MongoRefreshTokenService,53,16,2,0,10,6,5,2,4,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.adapter,DefaultHtmlSanitizer,5,64,1,1,1,9,2,2,1,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.adapter,DefaultPasswordValidator,3,0,0,0,1,0,1,0,1,0
MyJobsInfra,com.wilzwert.myjobs.infrastructure.adapter,PasswordResetMessageProviderAdapter,6,33,0,0,2,9,0,2,0,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.adapter,AccountCreationMessageProviderAdapter,6,54,0,0,2,13,0,2,0,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.adapter,JsHtmlFetcherAdapter,7,3,0,0,2,1,1,1,1,1
MyJobsInfra,com.wilzwert.myjobs.infrastructure.adapter,DefaultPasswordHasher,11,6,0,0,2,3,2,1,2,1
MyJobsInfra,com.wilzwert.myjobs.infrastructure.adapter,CustomHtmlFetcherService,5,3,0,0,1,2,1,1,1,1
MyJobsInfra,com.wilzwert.myjobs.infrastructure.adapter,StaticHtmlFetcherAdapter,32,31,0,0,11,3,1,2,1,2
MyJobsInfra,com.wilzwert.myjobs.infrastructure.adapter,EmailVerificationMessageProviderAdapter,50,6,0,0,11,3,1,1,1,1
